airline_code,ticket_price,airline_name,from_city,to_city,from_date,to_date,crawl_date
AC,1036.57,,MUC,HNL,2020-01-22,2020-02-11,2020-01-21
LH,1039.6,Lufthansa,MUC,HNL,2020-01-22,2020-02-11,2020-01-21
DL,1043.12,,MUC,HNL,2020-01-22,2020-02-11,2020-01-21
UA,1047.01,,MUC,HNL,2020-01-22,2020-02-11,2020-01-21
KL,1071.6,KLM Royal Dutch Airlines,MUC,HNL,2020-01-22,2020-02-11,2020-01-21
JL,1367.36,,MUC,HNL,2020-01-22,2020-02-11,2020-01-21
NH,2562.03,All Nippon Airways,MUC,HNL,2020-01-22,2020-02-11,2020-01-21
AF,4878.32,Air France,MUC,HNL,2020-01-22,2020-02-11,2020-01-21
NH,918.35,All Nippon Airways,MUC,HNL,2020-01-28,2020-02-17,2020-01-21
DL,932.7,,MUC,HNL,2020-01-28,2020-02-17,2020-01-21
KL,944.7,KLM Royal Dutch Airlines,MUC,HNL,2020-01-28,2020-02-17,2020-01-21
AF,948.82,Air France,MUC,HNL,2020-01-28,2020-02-17,2020-01-21
LH,969.6,Lufthansa,MUC,HNL,2020-01-28,2020-02-17,2020-01-21
UA,977.01,,MUC,HNL,2020-01-28,2020-02-17,2020-01-21
AC,1113.6,,MUC,HNL,2020-01-28,2020-02-17,2020-01-21
JL,1237.36,,MUC,HNL,2020-01-28,2020-02-17,2020-01-21
AC,827.57,,MUC,HNL,2020-02-05,2020-02-25,2020-01-21
UA,838.01,,MUC,HNL,2020-02-05,2020-02-25,2020-01-21
DL,838.91,,MUC,HNL,2020-02-05,2020-02-25,2020-01-21
LH,854.01,Lufthansa,MUC,HNL,2020-02-05,2020-02-25,2020-01-21
KL,862.6,KLM Royal Dutch Airlines,MUC,HNL,2020-02-05,2020-02-25,2020-01-21
NH,1784.35,All Nippon Airways,MUC,HNL,2020-02-05,2020-02-25,2020-01-21
UA,838.01,,MUC,HNL,2020-02-20,2020-03-11,2020-01-21
DL,846.23,,MUC,HNL,2020-02-20,2020-03-11,2020-01-21
LH,854.01,Lufthansa,MUC,HNL,2020-02-20,2020-03-11,2020-01-21
KL,870.23,KLM Royal Dutch Airlines,MUC,HNL,2020-02-20,2020-03-11,2020-01-21
AF,902.24,Air France,MUC,HNL,2020-02-20,2020-03-11,2020-01-21
NH,1606.35,All Nippon Airways,MUC,HNL,2020-02-20,2020-03-11,2020-01-21
UA,838.01,,MUC,HNL,2020-03-21,2020-04-10,2020-01-21
LX,868.69,Swiss Air,MUC,HNL,2020-03-21,2020-04-10,2020-01-21
LH,870.6,Lufthansa,MUC,HNL,2020-03-21,2020-04-10,2020-01-21
AC,1114.6,,MUC,HNL,2020-03-21,2020-04-10,2020-01-21
DL,1204.12,,MUC,HNL,2020-03-21,2020-04-10,2020-01-21
AF,1246.24,Air France,MUC,HNL,2020-03-21,2020-04-10,2020-01-21
NH,1606.35,All Nippon Airways,MUC,HNL,2020-03-21,2020-04-10,2020-01-21
KL,2020.7,KLM Royal Dutch Airlines,MUC,HNL,2020-03-21,2020-04-10,2020-01-21
AC,832.6,,MUC,HNL,2020-04-20,2020-05-10,2020-01-21
LH,848.6,Lufthansa,MUC,HNL,2020-04-20,2020-05-10,2020-01-21
UA,856.01,,MUC,HNL,2020-04-20,2020-05-10,2020-01-21
LX,872.58,Swiss Air,MUC,HNL,2020-04-20,2020-05-10,2020-01-21
DL,885.01,,MUC,HNL,2020-04-20,2020-05-10,2020-01-21
KL,897.78,KLM Royal Dutch Airlines,MUC,HNL,2020-04-20,2020-05-10,2020-01-21
NH,936.35,All Nippon Airways,MUC,HNL,2020-04-20,2020-05-10,2020-01-21
AF,953.82,Air France,MUC,HNL,2020-04-20,2020-05-10,2020-01-21
BA,1474.35,British Airways,MUC,HNL,2020-04-20,2020-05-10,2020-01-21
LO,227.12,LOT Polish Airlines,MUC,ODS,2020-01-22,2020-02-11,2020-01-21
TK,361.55,Turkish Airlines,MUC,ODS,2020-01-22,2020-02-11,2020-01-21
PS,932.81,Ukraine International Airlines,MUC,ODS,2020-01-22,2020-02-11,2020-01-21
KL,1251.36,KLM Royal Dutch Airlines,MUC,ODS,2020-01-22,2020-02-11,2020-01-21
LH,1293.29,Lufthansa,MUC,ODS,2020-01-22,2020-02-11,2020-01-21
OS,1369.56,Austrian Airlines,MUC,ODS,2020-01-22,2020-02-11,2020-01-21
LO,227.12,LOT Polish Airlines,MUC,ODS,2020-01-28,2020-02-17,2020-01-21
TK,271.55,Turkish Airlines,MUC,ODS,2020-01-28,2020-02-17,2020-01-21
OS,295.0,Austrian Airlines,MUC,ODS,2020-01-28,2020-02-17,2020-01-21
LH,321.0,Lufthansa,MUC,ODS,2020-01-28,2020-02-17,2020-01-21
PS,611.81,Ukraine International Airlines,MUC,ODS,2020-01-28,2020-02-17,2020-01-21
KL,1251.36,KLM Royal Dutch Airlines,MUC,ODS,2020-01-28,2020-02-17,2020-01-21
LO,227.12,LOT Polish Airlines,MUC,ODS,2020-02-05,2020-02-25,2020-01-21
TK,271.55,Turkish Airlines,MUC,ODS,2020-02-05,2020-02-25,2020-01-21
PS,611.81,Ukraine International Airlines,MUC,ODS,2020-02-05,2020-02-25,2020-01-21
KL,1251.36,KLM Royal Dutch Airlines,MUC,ODS,2020-02-05,2020-02-25,2020-01-21
LH,1293.29,Lufthansa,MUC,ODS,2020-02-05,2020-02-25,2020-01-21
OS,1369.56,Austrian Airlines,MUC,ODS,2020-02-05,2020-02-25,2020-01-21
LO,197.12,LOT Polish Airlines,MUC,ODS,2020-02-20,2020-03-11,2020-01-21
TK,271.55,Turkish Airlines,MUC,ODS,2020-02-20,2020-03-11,2020-01-21
OS,295.0,Austrian Airlines,MUC,ODS,2020-02-20,2020-03-11,2020-01-21
B2,352.55,,MUC,ODS,2020-02-20,2020-03-11,2020-01-21
LH,536.0,Lufthansa,MUC,ODS,2020-02-20,2020-03-11,2020-01-21
PS,611.81,Ukraine International Airlines,MUC,ODS,2020-02-20,2020-03-11,2020-01-21
KL,1251.36,KLM Royal Dutch Airlines,MUC,ODS,2020-02-20,2020-03-11,2020-01-21
LO,197.12,LOT Polish Airlines,MUC,ODS,2020-03-21,2020-04-10,2020-01-21
TK,276.55,Turkish Airlines,MUC,ODS,2020-03-21,2020-04-10,2020-01-21
OS,295.0,Austrian Airlines,MUC,ODS,2020-03-21,2020-04-10,2020-01-21
PS,611.81,Ukraine International Airlines,MUC,ODS,2020-03-21,2020-04-10,2020-01-21
LH,726.0,Lufthansa,MUC,ODS,2020-03-21,2020-04-10,2020-01-21
KL,1252.45,KLM Royal Dutch Airlines,MUC,ODS,2020-03-21,2020-04-10,2020-01-21
LO,202.78,LOT Polish Airlines,MUC,ODS,2020-04-20,2020-05-10,2020-01-21
OS,300.66,Austrian Airlines,MUC,ODS,2020-04-20,2020-05-10,2020-01-21
TK,327.21,Turkish Airlines,MUC,ODS,2020-04-20,2020-05-10,2020-01-21
PS,617.47,Ukraine International Airlines,MUC,ODS,2020-04-20,2020-05-10,2020-01-21
LH,731.66,Lufthansa,MUC,ODS,2020-04-20,2020-05-10,2020-01-21
KL,1259.2,KLM Royal Dutch Airlines,MUC,ODS,2020-04-20,2020-05-10,2020-01-21
AF,253.83,Air France,MUC,BIA,2020-01-22,2020-02-11,2020-01-21
LH,2181.99,Lufthansa,MUC,BIA,2020-01-22,2020-02-11,2020-01-21
LX,2241.88,Swiss Air,MUC,BIA,2020-01-22,2020-02-11,2020-01-21
KL,3099.14,KLM Royal Dutch Airlines,MUC,BIA,2020-01-22,2020-02-11,2020-01-21
AF,255.03,Air France,MUC,BIA,2020-01-28,2020-02-17,2020-01-21
LH,1862.08,Lufthansa,MUC,BIA,2020-01-28,2020-02-17,2020-01-21
KL,2828.93,KLM Royal Dutch Airlines,MUC,BIA,2020-01-28,2020-02-17,2020-01-21
AF,300.66,Air France,MUC,BIA,2020-02-05,2020-02-25,2020-01-21
LH,2181.99,Lufthansa,MUC,BIA,2020-02-05,2020-02-25,2020-01-21
LX,2241.88,Swiss Air,MUC,BIA,2020-02-05,2020-02-25,2020-01-21
KL,3004.14,KLM Royal Dutch Airlines,MUC,BIA,2020-02-05,2020-02-25,2020-01-21
AF,296.21,Air France,MUC,BIA,2020-02-20,2020-03-11,2020-01-21
LH,2015.78,Lufthansa,MUC,BIA,2020-02-20,2020-03-11,2020-01-21
AF,294.39,Air France,MUC,BIA,2020-03-21,2020-04-10,2020-01-21
LH,2022.34,Lufthansa,MUC,BIA,2020-03-21,2020-04-10,2020-01-21
AF,396.34,Air France,MUC,BIA,2020-04-20,2020-05-10,2020-01-21
LH,1793.66,Lufthansa,MUC,BIA,2020-04-20,2020-05-10,2020-01-21
KL,2417.65,KLM Royal Dutch Airlines,MUC,BIA,2020-04-20,2020-05-10,2020-01-21
