Dates;Destination;Group;Period;Price;Regio;Status;min_price
['07.08.2020', '22.08.2020'];Abidjan;sommerferien;2020-08;483;Africa;07/12/2019;483
['07.08.2020', '22.08.2020'];Abidjan;sommerferien;2020-08;483;Africa;08/12/2019;483
['24.10.2019', '17.11.2019'];Addis Abeba;last-minute;2019-10;346;Africa;22/10/2019;346
['29.10.2019', '17.11.2019'];Addis Abeba;last-minute;2019-10;346;Africa;26/10/2019;346
['31.10.2019', '17.11.2019'];Addis Abeba;last-minute;2019-10;346;Africa;26/10/2019;346
['14.01.2020', '26.01.2020'];Addis Abeba;last-minute;2020-01;359;Africa;08/01/2020;346
['25.01.2020', '08.02.2020'];Addis Abeba;fernreisen;2020-01;358;Africa;08/01/2020;346
['26.01.2020', '03.02.2020'];Addis Abeba;fernreisen;2020-01;361;Africa;23/01/2020;346
['26.01.2020', '08.02.2020'];Addis Abeba;fernreisen;2020-01;362;Africa;25/01/2020;346
['30.01.2020', '10.02.2020'];Addis Abeba;fernreisen;2020-01;359;Africa;24/01/2020;346
['16.06.2020', '16.07.2020'];Addis Abeba;fernreisen;2020-06;376;Africa;03/02/2020;346
['04.12.2021', '30.12.2021'];Addis Abeba;fernreisen;2021-12;389;Africa;2021-11-15;346
['31.12.2019', '15.01.2020'];Asmara;last-minute;2019-12;440;Africa;24/12/2019;440
['12.11.2019', '25.11.2019'];Banjul;warme-reiseziele;2019-11;289;Africa;22/10/2019;210
['12.11.2019', '25.11.2019'];Banjul;warme-reiseziele;2019-11;339;Africa;07/10/2019;210
['19.11.2019', '25.11.2019'];Banjul;warme-reiseziele;2019-11;329;Africa;09/10/2019;210
['10.12.2019', '24.12.2019'];Banjul;warme-reiseziele;2019-12;210;Africa;07/12/2019;210
['10.12.2019', '24.12.2019'];Banjul;warme-reiseziele;2019-12;210;Africa;08/12/2019;210
['07.01.2020', '04.02.2020'];Banjul;last-minute;2020-01;339;Africa;24/12/2019;210
['14.01.2020', '21.01.2020'];Banjul;last-minute;2020-01;325;Africa;08/01/2020;210
['28.01.2020', '18.02.2020'];Banjul;last-minute;2020-01;284;Africa;25/01/2020;210
['04.02.2020', '11.02.2020'];Banjul;last-minute;2020-02;309;Africa;03/02/2020;210
['29.07.2020', '26.08.2020'];Banjul;sommerferien;2020-07;461;Africa;07/12/2019;210
['18.02.2020', '10.03.2020'];Banjul;last-minute;2020-02;354;Africa;05/02/2020;210
['18.02.2020', '10.03.2020'];Banjul;last-minute;2020-02;354;Africa;07/02/2020;210
['18.02.2020', '10.03.2020'];Banjul;last-minute;2020-02;354;Africa;2020-02-10;210
['31.03.2020', '21.04.2020'];Banjul;warme-reiseziele;2020-03;329;Africa;2020-03-13;210
['31.12.2019', '15.01.2020'];Dar es Salaam;last-minute;2019-12;563;Africa;24/12/2019;563
['11.10.2019', '16.10.2019'];Djerba;warme-reiseziele;2019-10;221;Africa;07/10/2019;169
['25.10.2019', '30.10.2019'];Djerba;last-minute;2019-10;185;Africa;18/10/2019;169
['18.12.2019', '25.12.2019'];Djerba;last-minute;2019-12;200;Africa;07/12/2019;169
['06.05.2020', '20.05.2020'];Djerba;warme-reiseziele;2020-05;169;Africa;23/01/2020;169
['30.12.2019', '10.01.2020'];Douala;last-minute;2019-12;529;Africa;24/12/2019;529
['13.08.2020', '27.08.2020'];Enfidha;sommerferien;2020-08;432;Africa;03/02/2020;410
['20.08.2020', '03.09.2020'];Enfidha;sommerferien;2020-08;410;Africa;08/01/2020;410
['31.12.2019', '21.01.2020'];Entebbe;last-minute;2019-12;522;Africa;24/12/2019;379
['24.12.2020', '03.01.2021'];Entebbe;weihnachtsferien;2020-12;412;Africa;2020-06-06;379
['21.08.2020', '28.08.2020'];Entebbe;fernreisen;2020-08;379;Africa;2020-06-23;379
['14.09.2020', '06.10.2020'];Entebbe;fernreisen;2020-09;380;Africa;2020-07-15;379
['03.12.2021', '14.12.2021'];Entebbe;fernreisen;2021-12;384;Africa;2021-11-15;379
['02.12.2019', '23.12.2019'];Johannesburg;fernreisen;2019-12;397;Africa;20/10/2019;365
['07.12.2019', '22.12.2019'];Johannesburg;fernreisen;2019-12;378;Africa;26/10/2019;365
['07.12.2019', '22.12.2019'];Johannesburg;fernreisen;2019-12;387;Africa;22/10/2019;365
['07.12.2019', '22.12.2019'];Johannesburg;fernreisen;2019-12;397;Africa;19/10/2019;365
['30.01.2020', '15.02.2020'];Johannesburg;fernreisen;2020-01;378;Africa;26/10/2019;365
['21.04.2020', '05.05.2020'];Johannesburg;fernreisen;2020-04;391;Africa;08/12/2019;365
['28.04.2020', '26.05.2020'];Johannesburg;fernreisen;2020-04;394;Africa;07/12/2019;365
['26.03.2020', '02.04.2020'];Johannesburg;fernreisen;2020-03;365;Africa;2020-03-14;365
['15.09.2020', '09.10.2020'];Johannesburg;fernreisen;2020-09;370;Africa;2020-06-06;365
['14.09.2020', '21.09.2020'];Johannesburg;fernreisen;2020-09;371;Africa;2020-06-23;365
['29.10.2020', '12.11.2020'];Johannesburg;fernreisen;2020-10;375;Africa;2020-07-15;365
['22.06.2022', '08.07.2022'];Johannesburg;fernreisen;2022-06;369;Africa;2021-11-15;365
['16.08.2020', '05.09.2020'];Kapstadt;sommerferien;2020-08;508;Africa;07/10/2019;490
['11.08.2020', '01.09.2020'];Kapstadt;sommerferien;2020-08;490;Africa;07/02/2020;490
['11.08.2020', '01.09.2020'];Kapstadt;sommerferien;2020-08;490;Africa;2020-02-10;490
['04.11.2019', '12.11.2019'];Lusaka;last-minute;2019-11;498;Africa;26/10/2019;498
['03.08.2020', '17.08.2020'];Maputo;sommerferien;2020-08;594;Africa;22/10/2019;594
['03.08.2020', '17.08.2020'];Maputo;sommerferien;2020-08;597;Africa;26/10/2019;594
['15.10.2019', '22.10.2019'];Marrakesch;warme-reiseziele;2019-10;98;Africa;04/10/2019;15
['07.12.2019', '11.12.2019'];Marrakesch;kurzurlaub;2019-12;15;Africa;26/10/2019;15
['14.03.2020', '18.03.2020'];Marrakesch;kurzurlaub;2020-03;80;Africa;24/12/2019;15
['31.08.2020', '12.09.2020'];Marrakesch;warme-reiseziele;2020-08;155;Africa;23/01/2020;15
['12.09.2020', '22.09.2020'];Marrakesch;warme-reiseziele;2020-09;91;Africa;23/01/2020;15
['29.09.2020', '10.10.2020'];Marrakesch;warme-reiseziele;2020-09;116;Africa;2020-03-02;15
['29.09.2020', '10.10.2020'];Marrakesch;warme-reiseziele;2020-09;117;Africa;2020-03-06;15
['21.04.2020', '25.04.2020'];Marrakesch;kurzurlaub;2020-04;66;Africa;2020-03-14;15
['29.09.2020', '10.10.2020'];Marrakesch;warme-reiseziele;2020-09;133;Africa;2020-03-14;15
['29.09.2020', '10.10.2020'];Marrakesch;warme-reiseziele;2020-09;133;Africa;2020-03-16;15
['21.04.2020', '25.04.2020'];Marrakesch;kurzurlaub;2020-04;67;Africa;2020-03-16;15
['14.07.2020', '21.07.2020'];Marrakesch;warme-reiseziele;2020-07;61;Africa;2020-06-23;15
['17.10.2020', '24.10.2020'];Marrakesch;warme-reiseziele;2020-10;110;Africa;2020-06-23;15
['28.07.2020', '04.08.2020'];Marrakesch;last-minute;2020-07;48;Africa;2020-07-15;15
['18.08.2020', '25.08.2020'];Marrakesch;sommerferien;2020-08;43;Africa;2020-07-15;15
['18.08.2020', '25.08.2020'];Marrakesch;warme-reiseziele;2020-08;43;Africa;2020-07-15;15
['28.10.2019', '04.11.2019'];Mombasa;last-minute;2019-10;380;Africa;26/10/2019;352
['28.10.2019', '04.11.2019'];Mombasa;last-minute;2019-10;387;Africa;22/10/2019;352
['18.11.2019', '09.12.2019'];Mombasa;fernreisen;2019-11;385;Africa;18/10/2019;352
['27.01.2020', '08.02.2020'];Mombasa;fernreisen;2020-01;406;Africa;20/10/2019;352
['27.01.2020', '17.02.2020'];Mombasa;fernreisen;2020-01;368;Africa;24/12/2019;352
['04.03.2020', '22.03.2020'];Mombasa;fernreisen;2020-03;352;Africa;08/01/2020;352
