Destination,Dates,Price,Group,Period,Status,Regio
New York La Guardia,"['01.12.2023', '13.12.2023']",335,fernreisen,2023-12,2023-01-28,USA East
Philadelphia,"['08.09.2023', '02.10.2023']",343,fernreisen,2023-09,2023-01-28,USA East
Cancun,"['12.09.2023', '26.09.2023']",376,fernreisen,2023-09,2023-01-28,Karibik
Tampa,"['09.09.2023', '25.09.2023']",378,fernreisen,2023-09,2023-01-28,USA East
Miami International,"['20.10.2023', '17.11.2023']",379,fernreisen,2023-10,2023-01-28,USA East
Seattle,"['21.04.2023', '03.05.2023']",385,fernreisen,2023-04,2023-01-28,USA West
Austin,"['18.09.2023', '18.10.2023']",396,fernreisen,2023-09,2023-01-28,USA
Las Vegas,"['19.09.2023', '01.10.2023']",400,fernreisen,2023-09,2023-01-28,USA West
Entebbe,"['11.09.2023', '04.10.2023']",402,fernreisen,2023-09,2023-01-28,Africa
Havanna,"['15.06.2023', '02.07.2023']",404,fernreisen,2023-06,2023-01-28,Karibik
Dallas,"['11.09.2023', '11.10.2023']",405,fernreisen,2023-09,2023-01-28,USA
West Palm Beach,"['27.10.2023', '21.11.2023']",409,fernreisen,2023-10,2023-01-28,USA East
Jacksonville Florida,"['06.04.2023', '02.05.2023']",417,fernreisen,2023-04,2023-01-28,USA East
Pensacola,"['07.04.2023', '27.04.2023']",419,fernreisen,2023-04,2023-01-28,USA
Atlanta,"['01.09.2023', '17.09.2023']",420,fernreisen,2023-09,2023-01-28,USA East
Fort Myers,"['13.09.2023', '09.10.2023']",423,fernreisen,2023-09,2023-01-28,USA
San Francisco,"['28.10.2023', '14.11.2023']",425,fernreisen,2023-10,2023-01-28,USA West
Sarasota,"['29.08.2023', '13.09.2023']",426,fernreisen,2023-08,2023-01-28,USA East
Fort Lauderdale,"['04.04.2023', '29.04.2023']",431,fernreisen,2023-04,2023-01-28,USA
Washington DC,"['27.08.2023', '13.09.2023']",433,fernreisen,2023-08,2023-01-28,USA East
Halifax,"['08.03.2023', '27.03.2023']",433,fernreisen,2023-03,2023-01-28,Europe
Salt Lake City,"['04.04.2023', '03.05.2023']",440,fernreisen,2023-04,2023-01-28,USA
Roatan,"['29.04.2023', '17.05.2023']",443,fernreisen,2023-04,2023-01-28,
San Diego,"['27.10.2023', '21.11.2023']",444,fernreisen,2023-10,2023-01-28,USA West
Los Angeles,"['15.10.2023', '06.11.2023']",445,fernreisen,2023-10,2023-01-28,USA West
Bangkok,"['16.09.2023', '23.09.2023']",452,fernreisen,2023-09,2023-01-28,Asia
Mexico City,"['30.10.2023', '17.11.2023']",454,fernreisen,2023-10,2023-01-28,Karibik
San Jose,"['15.09.2023', '15.10.2023']",454,fernreisen,2023-09,2023-01-28,USA West
Houston,"['01.07.2023', '11.07.2023']",456,fernreisen,2023-07,2023-01-28,USA
Toronto,"['21.08.2023', '09.09.2023']",458,fernreisen,2023-08,2023-01-28,Canada
Belize City,"['27.02.2023', '15.03.2023']",459,fernreisen,2023-02,2023-01-28,
Vancouver,"['04.09.2023', '17.09.2023']",461,fernreisen,2023-09,2023-01-28,Canada
Dar es Salaam,"['17.04.2023', '14.05.2023']",462,fernreisen,2023-04,2023-01-28,Africa
Addis Abeba,"['10.10.2023', '25.10.2023']",465,fernreisen,2023-10,2023-01-28,Africa
New York La Guardia,"['01.12.2023', '13.12.2023']",335,fernreisen,2023-12,2023-01-28,USA East
Philadelphia,"['08.09.2023', '02.10.2023']",343,fernreisen,2023-09,2023-01-28,USA East
Cancun,"['12.09.2023', '26.09.2023']",376,fernreisen,2023-09,2023-01-28,Karibik
Tampa,"['09.09.2023', '25.09.2023']",378,fernreisen,2023-09,2023-01-28,USA East
Miami International,"['20.10.2023', '17.11.2023']",379,fernreisen,2023-10,2023-01-28,USA East
Seattle,"['21.04.2023', '03.05.2023']",385,fernreisen,2023-04,2023-01-28,USA West
Austin,"['18.09.2023', '18.10.2023']",396,fernreisen,2023-09,2023-01-28,USA
