Destination;Symbol;Regio
Abidjan;Abidjan;Africa
Abu Dhabi;Abu Dhabi;MENA
Adana;Adana;MENA
Addis Abeba;Addis Abeba;Africa
Alicante;Alicante;Europe Spain
Amman;Amman;MENA
Ancona;Ancona;Europe Italy
Ankara;Ankara;MENA
Antalya;Antalya;MENA
Athen;Athen;Europe
Atlanta;Atlanta;USA East
Austin;Austin;USA
Bali;Bali;Asia
Baltimore;Baltimore;USA
Bangkok;Bangkok;Asia
Bangkok Don Mueang;Bangkok;Asia
Banjul;Banjul;Africa
Barcelona;Barcelona;Europe Spain
Bari;Bari;Europe Italy
Bastia;Corsica;Europe France
Beijing International;Beijing;Asia
Beirut;Beirut;MENA
Belem;Belem;Karibik
Biarritz;Biarritz;Europe France
Bilbao;Bilbao;Europe Spain
Birmingham;Birmingham;Europe
Boa Vista Kap Verde;Kap Verde;Karibik
Bologna;Bologna;Europe Italy
Boston;Boston;USA East
Brindisi;Brindisi;Europe
Cagliari;Cagliari;Europe Italy
Calgary;Calgary;Canada
Cancun;Cancun;Karibik
Cayo Coco;Cayo Coco;Karibik
Cebu;Cebu;Asia
Chania;Chania;Europe
Charleston SC;Charleston;USA
Charlotte;Charlotte;USA East
Cincinnati;Cincinnati;USA
Cork;Cork;Europe
Curacao;Curacao;Karibik
Dalaman;Dalaman;MENA
Dallas;Dallas;USA
Dar es Salaam;Dar es Salaam;Africa
Daytona Beach;Daytona Beach;USA East
Denver;Denver;USA
Destination;Symbol;Regio
Djerba;Djerba;Africa
Doha;Doha;MENA
Douala;Douala;Africa
Dubai;Dubai;MENA
Dubai World Central;Dubai;MENA
Dublin;Dublin;Europe
Dubrovnik;Dubrovnik;Europe
Edinburgh;Edinburgh;Europe
Edmonton;Edmonton;Canada
El Paso;El Paso;USA
Enfidha;Enfidha;Africa
Entebbe;Entebbe;Africa
Ercan;Ercan;MENA
Eriwan;Eriwan;Europe
Faro;Faro;Europe Spain
Fes;Fes;Europe
Florenz;Florenz;Europe Italy
Fort de France;Fort de France;Karibik
Fort Lauderdale;Fort Lauderdale;USA
Fort Myers;Fort Myers;USA
Fuerteventura;Fuerteventura;Karibik
Funchal;Funchal;Europe Spain
Girona;Girona;Europe Italy
Grenada;Grenada;Karibik
Guayaquil;Ekvador;Karibik
Halifax;Halifax;Europe
Hanoi;Hanoi;Asia
Hatay;Hatay;Europe
Havanna;Havanna;Karibik
Hongkong;Hongkong;Asia
Honolulu;Honolulu;USA West
Houston;Houston;USA
Hurghada;Hurghada;MENA
Ibiza;Ibiza;Europe Spain
Istanbul;Istanbul;MENA
Istanbul Sabiha Gꢥn;Istanbul;MENA
Izmir;Izmir;MENA
Jacksonville Florida;Jacksonville Florida;USA East
Jeddah;Jeddah;MENA
Jerez de la Frontera;Jerez de la Frontera;Europe Spain
Johannesburg;Johannesburg;Africa
Kairo;Kairo;MENA
Kalamata;Kalamata;Europe
Kapstadt;Kapstadt;Africa
Karpathos;Karpathos;Europe
Kerry County;Kerry County;Europe
Kiew;Kiew;Europe
Korfu;Korfu;Europe
Kos;Kos;Europe
Kreta Heraklion;Kreta;Europe
Kuala Lumpur;Kuala Lumpur;Asia
Kutaisi;Kutaisi;Europe
Lamezia Terme;Lamezia;Europe Italy
Lanzarote;Lanzarote;Europe Spain
Las Palmas;Las Palmas;Europe Spain
Las Vegas;Las Vegas;USA West
Liberia Costa Rica;Liberia Costa Rica;Karibik
Lissabon;Lissabon;Europe Spain
London City;London;Europe
Los Angeles;Los Angeles;USA West
Lusaka;Lusaka;Africa
Luxor;Luxor;MENA
Luzon Clark;Luzon Clark;Asia
Lyon;Lyon;Europe France
Macau;Macau;Asia
Madrid;Madrid;Europe Spain
Mahe;Seychelles;MENA
Mailand Malpensa;Mailand;Europe Italy
Malaga;Malaga;Europe Spain
Male;Maldives;MENA
Mallorca;Mallorca;Europe Spain
Malta;Malta;Europe
Manila;Manila;Asia
Maputo;Maputo;Africa
Marrakesch;Marrakesch;Africa
Marsa Alam;Marsa Alam;MENA
Marseille;Marseille;Europe France
Memphis;Memphis;USA
Menorca;Menorca;Europe Spain
Mexico City;Mexico City;Karibik
Miami International;Miami;USA East
Minneapolis;Minneapolis;USA
Mombasa;Mombasa;Africa
Montreal Pierre Elliott Trudeau;Montreal;Canada
Muscat;Muscat;MENA
Nagoya;Nagoya;Japan
Nairobi;Nairobi;Africa
Nantes;Nantes;Europe France
Nassau;Nassau;Karibik
New Orleans;New Orleans;USA
New York;New York;USA East
New York La Guardia;New York;USA East
Newark;New York;USA East
Nizza;Nizza;Europe France
Ohrid;Ohrid;Europe
Okinawa;Okinawa;Japan
Olbia;Olbia;Europe Italy
Oran;Oran;Africa
Orlando;Orlando;USA East
Osaka;Osaka;Japan
Oslo;Oslo;Europe
Ottawa;Ottawa;Canada
Oviedo;Oviedo;Europe Spain
Palermo;Palermo;Europe Italy
Paphos;Paphos;Europe
