,Topic,Title,Published,Duration,Link,Region
0,Azure Function,Zero to Hero on Azure Functions Security | Muralidharan Deenathayalan | AzConf | AzConf2022,4 weeks ago,47:13,https://www.youtube.com/watch?v=Q-wdLLWXnyM,KZ
1,Azure Function,Message Brokering and Event Driven Architecture on Azure - Marilag Dimatulac Svennevig - NDC Sydney,6 days ago,1:00:31,https://www.youtube.com/watch?v=6haKMxdWeZY,KZ
2,Azure Function,Providing Microsoft Azure Functions And Microsoft Dataverse Resources With CloudStack - CCC 2022,8 days ago,29:05,https://www.youtube.com/watch?v=ta4bQ1-DUw0,KZ
3,Azure Function,Re:Imagine Sessions - Going Serverless with Azure Functions - Lessons Learned from Production,1 month ago,1:29:20,https://www.youtube.com/watch?v=bA0TUn-8qnU,NZ
4,Azure Function,Python Functions Master Class 2023,1 month ago,3:12:07,https://www.youtube.com/watch?v=d-stFeiJl6c,SI
5,Azure Function,Azure Master Class v2 - Module 2 - Identity,3 weeks ago,2:16:30,https://www.youtube.com/watch?v=6Vm-h_3nKjc,UA
6,Azure Function,"Create Azure Functions Locally - CLI, NO EXTENSIONS, UPDATED",3 weeks ago,9:01,https://www.youtube.com/watch?v=XnRwVuT5x24,UA
7,Azure Function,What are Azure Functions?,7 days ago,1:20,https://www.youtube.com/watch?v=S1CFQH9ttvY,US
8,Azure Function,Azure Function to Bulk Stop and Start Azure Resources in Order,4 weeks ago,16:35,https://www.youtube.com/watch?v=PbzUBtkkdlk,US
9,Azure Function,What are Azure Functions? What is serverless?,3 weeks ago,1:20,https://www.youtube.com/watch?v=8lwbNbWz2ZM,US
10,Azure Function,How to use Azure Functions with the MongoDB Node.js Drivers,4 weeks ago,29:35,https://www.youtube.com/watch?v=DpGq9iu3Q8E,US
11,Azure Function,What is Azure Functions isolated worker model for .NET?,2 weeks ago,1:03,https://www.youtube.com/watch?v=T95wb9j28zQ,US
12,Azure Function,Introduction to Azure Functions,5 days ago,12:26,https://www.youtube.com/watch?v=pZct1DfuhtA,US
13,Azure Function,What are the advantages of Azure Functions isolated worker for .NET?,11 days ago,1:24,https://www.youtube.com/watch?v=PnaXUeGZEro,US
14,Azure Function,Building your own GPT-3 API with Azure Functions | Unscripted Coding,4 weeks ago,17:58,https://www.youtube.com/watch?v=Fv8ImkaDaP4,US
15,Azure Function,Showcasing PolitePost.net - GPT3 and Azure Functions Web App | Unscripted Coding,3 weeks ago,9:36,https://www.youtube.com/watch?v=YVhrhUZy8H4,US
16,Azure Function,Azure Master Class v2 - Module 1 - Fundamentals of Cloud and Azure,1 month ago,48:05,https://www.youtube.com/watch?v=vkM_2vsHWA4,US
17,Azure Function,Building Secure Microservices in Azure - Jimmy Bogard - NDC Oslo 2022,2 weeks ago,1:02:40,https://www.youtube.com/watch?v=UdQJWcgOnJg,US
18,Azure Function,Azure Master Class v2 - Module 3 - Governance,2 weeks ago,2:15:45,https://www.youtube.com/watch?v=eLSjnF6Crlw,US
19,Azure Function,"5-Minute Serverless-First Series: Implementing Middleware for Azure Functions, Part 1 (Episode 7)",10 days ago,6:13,https://www.youtube.com/watch?v=Y8F1y3nzRdU,US
20,Azure Function,"5-Minute Serverless-First Series: Implementing Middleware for Azure Functions, Part 2 (Episode 8)",9 days ago,6:29,https://www.youtube.com/watch?v=v7hlkeDFY1k,US
21,Azure Function,Serverless Applications development with Azure Functions,3 weeks ago,25:20,https://www.youtube.com/watch?v=uIhJlix583c,US
22,Azure Function,An Azure Function connecting to a CosmosDB using RBAC - George Kosmidis | codeweek 2022,4 weeks ago,41:01,https://www.youtube.com/watch?v=r7HXkaSlnQ8,US
23,Azure Function,Azure Master Class v2 - Module 4 - Resiliency,10 days ago,2:08:25,https://www.youtube.com/watch?v=iX87AomIqTw,US
24,Azure Function,How To Learn Azure In 2023,4 days ago,58:02,https://www.youtube.com/watch?v=LIpAw_VmNso,US
25,Azure Function,Create Azure Function using Visual Studio,4 days ago,12:07,https://www.youtube.com/watch?v=mnVb0zyEnd0,US
26,Azure Function,Azure Function App Swap Slot (Blue/Green Deployment) - GitLab CICD,3 weeks ago,25:13,https://www.youtube.com/watch?v=vYpCO-g1Z-U,US
